Name,Address,City,Zipcode,Statea
"Brea Police Dept","1 Civic Center Cir","Brea","92821-5732","CA"
"Scotts Valley Police Dept","1 Civic Center Dr","Scotts Valley","95066-4156","CA"
"Irvine Police Dept-Traffic","1 Civic Center Plz","Irvine","92606-5207","CA"
"Ione Police Dept","1 E Main St","Ione","95640-0000","CA"
"Los Angeles County Sheriff","1 E Regent St # 122","Inglewood","90301-6053","CA"
"Oakland Police Review Board","1 Frank H Ogawa Plz Fl 11","Oakland","94612-1932","CA"
"Mill Valley Police Dept","1 Hamilton Ln","Mill Valley","94941-1772","CA"
"Rio Vista Police Dept","1 Main St","Rio Vista","94571-1842","CA"
"San Francisco City Sheriff","1 Moreland Dr","San Bruno","94066-0000","CA"
"Los Altos Police Dept","1 N San Antonio Rd","Los Altos","94022-3000","CA"
"San Francisco Police Dept","1 Sergeant John V Young Way","San Francisco","94112-0000","CA"
"Sand City Police Dept","1 Sylvan Way","Sand City","93955-3039","CA"
"Perris City Police Dept","100 N Perris Blvd","Perris","92570-1928","CA"
"Lompoc Police Dept","100 Civic Center Plz","Lompoc","93436-6916","CA"
"Dublin City Police Dept","100 Civic Plz","Dublin","94568-2658","CA"
"El Cajon Police Dept-Traffic","100 Fletcher Pkwy","El Cajon","92020-2505","CA"
"Napa County Sheriff Dept","100 Howell Mountain Rd","Angwin","94508-9500","CA"
"Inglewood Police-Parking Enf","1 W Manchester Blvd Fl 2","Inglewood","90301-1750","CA"
"Inglewood Police Dept","1 W Manchester Blvd","Inglewood","90301-1750","CA"
"Isleton Police Dept","100 2nd St","Isleton","95641-0000","CA"
"Contra Costa Cnty Criminal Ct","100 37th St","Richmond","94805-2135","CA"
"San Clemente Police Dept","100 Avenida Presidio","San Clemente","92672-3100","CA"
"Sheriff Office-Finance","100 Bryant St","Bridgeport","93517-0000","CA"
"Calipatria City Police Dept","101 N Lake Ave","Calipatria","92233-0000","CA"
"Cupertino Police Dept","10300 Torre Ave","Cupertino","95014-3202","CA"
"Corcoran Police Dept","1031 Chittenden Ave","Corcoran","93212-2499","CA"
"Clovis Police Dept-Records","1033 5th St","Clovis","93612-1329","CA"
"Exeter Police Dept","100 N C St","Exeter","93221-1805","CA"
"Police Dept-Records","100 W California Ave","Ridgecrest","93555-4054","CA"
"Vacaville Police Youth Svc","100 W Monte Vista Ave","Vacaville","95688-3829","CA"
"Sheriff Dept-Emergency Svc","101 Memeorial Dr","Weaverville","96093-0000","CA"
"Sheriff Dept-Lake Patrol","101 Memorial Dr","Weaverville","96093-0000","CA"
